,NY-ESO,TAX,Hsiue,Luksza TCR1,Luksza TCR2,Luksza TCR3,Luksza TCR4,Luksza TCR5,Luksza TCR6,Luksza TCR7
BLOSUM62,,,,0.40,0.41,0.89,0.82,0.64,0.79,0.42
Luksza et al. $C/d$,,,,0.53,0.60,0.90,0.74,0.55,0.72,0.41
Luksza et al. $C$,,,,0.81,0.81,0.81,0.78,0.77,0.74,0.64
TCRdock,,,,0.75,0.69,0.76,0.72,0.46,0.74,0.60
TCRdock benchmark,,,,0.60,0.72,0.68,0.54,0.65,0.57,0.60
TULIP,,,,0.70,0.72,0.55,0.51,0.58,0.55,
TAPIR,,,,0.78,0.74,0.48,0.41,0.77,0.47,0.52
NetTCR-2.2,,,,0.40,0.48,0.84,0.54,0.58,0.54,0.28
ESM-IF1,,,,0.74,0.80,0.61,0.43,0.72,0.61,0.53
ProteinMPNN 0.02 Pep 1-by-1 Masked,,,,0.75,0.79,0.68,0.42,0.77,0.77,0.67
ProteinMPNN 0.20 Pep 1-by-1 Masked,,,,0.71,0.78,0.71,0.40,0.72,0.75,0.47
ProteinMPNN 0.02 Pep Full Masked,,,,0.74,0.79,0.68,0.39,0.77,0.77,0.67
ProteinMPNN 0.20 Pep Full Masked,,,,0.72,0.78,0.72,0.40,0.71,0.76,0.47
ProteinMPNN 0.02 TCR Full Masked,,,,0.52,0.63,0.50,0.47,0.71,0.81,0.47
ProteinMPNN 0.20 TCR Full Masked,,,,0.50,0.70,0.56,0.57,0.61,0.74,0.41
ProteinMPNN 0.02 Pep and TCR Full Masked,,,,0.73,0.81,0.67,0.40,0.80,0.80,0.65
ProteinMPNN 0.20 Pep and TCR Full Masked,,,,0.69,0.79,0.69,0.41,0.75,0.76,0.44
HERMES-fixed 0.00,,,,0.80,0.89,0.83,0.51,0.69,0.88,0.45
HERMES-fixed 0.50,,,,0.76,0.85,0.80,0.58,0.54,0.82,0.46
HERMES-relaxed 0.00,,,,0.75,0.85,0.64,0.41,0.77,0.70,0.53
HERMES-relaxed 0.50,,,,0.81,0.79,0.60,0.43,0.69,0.53,0.55
HERMES-relaxed-min_energy 0.00,,,,0.75,0.84,0.60,0.44,0.77,0.75,0.50
HERMES-relaxed-min_energy 0.50,,,,0.81,0.78,0.61,0.45,0.64,0.60,0.52
