,NY-ESO,TAX,MART,Hsiue,Luksza TCR1,Luksza TCR2,Luksza TCR3,Luksza TCR4,Luksza TCR5,Luksza TCR6,Luksza TCR7
BLOSUM62,,,,,0.42,0.43,0.93,0.86,0.67,0.83,0.45
TCRdock,,,,,0.75,0.69,0.76,0.72,0.46,0.74,0.60
TCRdock benchmark,,,,,0.60,0.72,0.68,0.54,0.65,0.57,0.60
TULIP,,,,,0.70,0.72,0.55,0.51,0.58,0.55,
ProteinMPNN 0.02,,,,,0.75,0.79,0.68,0.42,0.77,0.77,0.67
ProteinMPNN 0.20,,,,,0.71,0.78,0.71,0.40,0.72,0.75,0.47
HERMES-fixed 0.00,,,,,0.80,0.89,0.83,0.51,0.69,0.88,0.45
HERMES-fixed 0.50,,,,,0.76,0.85,0.80,0.58,0.54,0.82,0.46
HERMES-relaxed 0.00,,,,,0.78,0.86,0.64,0.41,0.77,0.70,0.54
HERMES-relaxed 0.50,,,,,0.82,0.79,0.60,0.44,0.69,0.54,0.55
